sample_id,irrigation_water_l_ha,fertilizer_n_kg_ha,fertilizer_p_kg_ha,fertilizer_k_kg_ha,energy_kwh_ha,land_area_ha,crop_type,crop_yield_t_ha
0,1766.903232899353,65.06320761306262,18.43004942573448,28.50316153833558,53.43026344355213,7.1883526211520214,soybean,1.9712211584514037
1,1694.3889957871486,16.755833189030717,12.369475302331207,59.086112767043794,326.1980076883337,6.092826765811376,wheat,2.9971412112003954
2,1808.5206933949798,38.632936957433856,52.413267989533715,58.79248974235439,294.2111704066424,8.281574771464362,cotton,1.2689317207966846
3,1981.7710655633248,109.86745228258704,26.876416400444796,66.95527245834683,205.51716875211434,7.147444798924277,maize,3.8126162888596076
4,1459.3056295054653,21.18487722574496,16.654828659985732,42.29876673875615,230.032943149821,4.439947341868367,soybean,1.523772414619362
5,453.07538023549336,61.09208806835772,30.06530864241762,74.6010413793399,189.23180093759618,9.077405709629925,rice,2.6906184778791205
6,773.622236378724,23.74096080228567,35.94774581887984,59.9908281543546,255.86538598542847,1.3146294504343743,wheat,2.4659995675801234
7,639.5822361608668,71.65605208860669,20.649886587518495,28.422904103712394,143.57507213547683,2.3560147929043835,cotton,0.6239113572950413
8,1333.805917440931,90.11571481928308,50.59183209223101,22.975826986111578,94.13199705378199,1.3258012268923764,rice,2.8378985415235576
9,1163.9423856065055,41.54918879373611,35.08497188861774,39.78353475678015,145.15603147528492,8.532880764346926,wheat,2.7745284090355864
10,1891.9015922932363,108.75999068802948,15.312735368993794,30.761323813125074,395.3911358276277,5.45406478780913,cotton,0.9208954379697634
11,1027.6956656246703,63.79002265456369,57.255273534070405,76.35642470267358,115.55671575155974,9.906330582196574,cotton,0.830830312493653
12,496.71020284910503,88.22371198283774,43.775487177709365,40.73316647232478,68.63964689737374,2.6676810041967496,wheat,1.6570069152141547
13,438.1254612014077,44.518782060922675,54.762334922382685,47.69635271532462,190.19998123389288,7.6832392926942905,wheat,2.0894010279317214
14,1696.9789313357267,71.11439880511665,27.753438890964876,60.261050909156936,348.5642259391968,9.603540653908045,wheat,3.3254528410287176
15,1416.3609272669955,55.59771981516655,37.71681271588738,12.537248020825407,157.68007243752044,7.108331869996474,maize,3.5279327963551417
16,705.2312391376695,66.80994667507932,29.326319098141084,24.03485070230066,285.6645422227075,4.406501613921893,rice,3.569971421495959
17,1850.3390821375665,48.01707172697178,5.897230421156285,40.02726812721151,258.48404409722207,9.423854040343041,soybean,1.7124628290873392
18,1294.2180836075659,100.30901796529182,23.567950824026582,48.26395120732033,326.9583444316259,4.3189465987803475,soybean,1.6562464825665857
19,1372.6819456745761,69.2234816292962,25.233437361124896,68.51637339477995,251.08571238715245,4.376074685822898,soybean,1.7131678124501646
20,1872.9934028413275,22.573874210510873,30.240767354889467,28.58024430402211,174.9230958042856,7.688306460833092,rice,3.422514648094995
21,480.94547777690514,34.3606565138339,35.4093054131157,38.32201869808329,92.022497095917,9.75257005046417,cotton,0.7189039959802965
22,1750.7973964162325,118.31395638703722,55.31248317999737,17.179068464209998,202.80336362282208,9.117716838247278,maize,3.4277605837349645
23,1964.8082521655326,12.004118159305914,46.222100804934,11.56397649869506,381.9328675431301,4.548868185291649,rice,2.6155311101123164
24,843.3336550517286,90.23955385352126,52.93626062381975,10.286692929054777,105.18042529029664,8.544054163852579,rice,2.7199012243590013
25,1265.757991658686,32.77159238381492,23.42309355980665,14.246938394853807,89.65445666374576,0.8761575490882225,cotton,0.6266558682941639
26,1077.7456511499079,72.14735069690562,34.517184276544455,10.098531632569374,336.44235737060825,4.72926331084512,cotton,1.6066392137637848
27,509.6462071343783,68.3939024477146,31.491951897331703,11.398355485855387,134.8678042792143,2.678496455015171,cotton,1.17573311833526
28,1206.9605759982232,45.46296920610161,31.291176449010994,76.81967053607566,255.00677642635478,9.68285531744928,rice,3.04017811291138
29,1832.915773230412,19.984783975787536,39.874009059106534,66.75369106769475,237.02081589460514,1.3984420516155995,soybean,1.7543723375279114
30,651.0169319203937,90.18042180135991,22.176656904133264,12.813864991457184,121.2460728402932,1.3258181733538867,rice,3.246652761936404
31,742.8396216542228,79.49393318443921,16.198449980816335,16.947307318442057,108.81257179510159,7.636497434708328,wheat,0.8426831067622286
32,1274.7841448209701,17.30118320231435,13.019845339868189,56.466319312116525,331.34230150999474,5.052998165594133,rice,3.26155735976946
33,471.37830622014224,92.0430099448267,6.907945258120298,64.99789660787826,133.04657922853823,9.683466423719825,soybean,1.7445791983085952
34,793.556556877151,99.80385443512601,37.7261688483268,76.50959628559511,236.22350164128326,6.55337105761962,wheat,2.748256639725857
35,1124.2238660831422,104.92857719862675,35.97425619865645,41.49269920015719,168.9420528712094,3.7643917432602594,cotton,1.3875116069814
36,1627.6987429417459,67.55331495583397,39.87949734557295,22.349403627005568,78.48168660339422,3.302285157440137,rice,3.8120849097342355
37,849.4416028752448,80.5420716314042,38.99718177846463,29.65900567998396,387.9833889282907,2.412038201815251,rice,2.776520624832947
38,659.3478898911034,94.22905359883866,43.38859042144039,34.974729319922304,191.91376398685378,5.212707528019293,cotton,0.8996231890521439
39,518.6215567927854,119.19857305107902,39.041805895363105,32.945972398377975,274.1944458269677,2.809342535640296,wheat,2.4456171673864935
40,1761.535517416035,55.13754554691757,15.173518398780827,37.89919096325346,217.05000984524125,4.329549993237904,cotton,1.107842897669208
41,1632.4429288544786,119.32015162425274,11.685289862992349,25.260298617795463,378.9027298697031,7.519701854829785,wheat,2.612120898933285
42,761.7840805557373,34.8667318055386,40.13453544704501,43.526837562416624,57.37848698007054,5.276546895240303,soybean,1.6881578317808563
43,1042.394146933431,65.56843990801197,36.88326912231588,21.440295594180007,63.389251910886394,6.300344222998348,cotton,1.3398560220254097
44,1078.1442896198932,48.965277375027014,42.72410166357087,71.86552030362793,62.98100139327948,2.398382639744847,soybean,1.9940231381935105
45,1648.4190865549217,58.552807885606164,18.702190056754798,16.043590215093786,345.52011961804834,0.9460065492445282,wheat,2.4273949019383014
46,974.7713901770707,53.09735831601044,18.492037526510686,73.93106628900725,235.38093106998562,6.62876255662066,soybean,2.047222455375246
47,747.5711350554409,22.461107100835868,51.55853139692547,25.869550391030714,319.22683085343755,7.514855586954356,rice,2.645541004731291
48,1880.4584806018179,90.00135889010042,8.392617042038617,46.045195147230736,61.76211608216891,5.570817062088728,cotton,1.4500213475042316
49,1226.118232291616,85.67747575556605,32.648553267218716,34.99660068697377,302.1732117542141,5.519066106771028,maize,2.6656273352240465
50,1198.5941141501262,19.68248566683798,42.090454996031326,21.286920912859287,318.30928400265196,7.351313573506859,maize,3.4139076717756027
51,1608.194945057188,48.46376763678854,31.257069696028406,17.95899355307563,214.06755212664825,7.054657378053022,maize,2.4200334054650123
52,1130.6232779790234,118.74206226965808,51.349845601068814,41.96734153534756,148.84135833107194,1.8315856417035765,cotton,1.2072013842557394
53,1526.153509383179,117.41693529552425,50.66515145407993,17.25728382257091,210.07666110430827,3.493354080480743,cotton,1.3436126176304977
54,691.7152126990677,119.413487775988,27.309903302953952,48.389978329995664,317.68887889456033,7.026761164399936,cotton,1.2635064281843358
55,896.8544672626342,66.79543306755548,52.03039231535229,42.92677093336613,107.17239464857802,7.230742999472476,maize,3.2401728592132195
56,1158.6916309497324,59.90028205325834,26.884124613811522,52.37477258944999,178.6722507536963,4.12774447937484,soybean,2.174488296939568
57,1415.109321198403,107.13646724971461,42.11241843273748,42.84397868571885,60.31057774422055,9.655108733633973,soybean,2.2074739022585033
58,1501.2868220155533,86.31258791144039,43.44826948435609,29.48131852011018,260.77103055976346,2.584981102275359,maize,3.277117673190174
59,530.4672164974338,59.72674684206476,31.114007756198184,41.28000271916993,100.27583326180641,4.455310100076721,soybean,1.3736540669259387
60,579.1954366049504,51.77180729098002,43.594336940720304,76.68488300060778,224.95379247638942,9.0269898190708,soybean,1.9984870857745423
61,1883.4339028828047,102.23694409467335,53.26529809565624,42.87441027166903,334.06426192069506,2.9613275912763006,maize,3.5684514529490876
62,1738.2204579048937,37.7169145664313,44.09323443777241,68.59280620120867,172.3744311793822,2.103005910042266,maize,3.307760157788635
63,593.1758888334639,107.2018818810592,59.200239774059455,64.24968654560837,155.83232096587372,9.728151691925305,wheat,2.410445835611957
64,858.7555570151936,114.54781639346547,10.661960207000583,36.220589542966124,286.7010602271929,2.5536993191769337,maize,2.958675082280099
65,702.4593804757699,17.422047635720403,46.995440490547395,50.288131141572855,189.8195300883182,6.809631639623199,soybean,1.754852384347997
66,1358.0470874216576,52.40836984844942,47.860661018638815,22.92665821170898,164.54083340306013,2.966863095295585,rice,2.953035183069884
67,850.0862528573696,117.00693477577104,34.47370579160358,67.81878105175258,250.89438206152533,4.4278162621914845,rice,2.4261307910824828
68,1295.97376919813,104.97362081183132,21.119446006841482,47.14167157366505,241.18759713895838,5.156199398565058,cotton,1.0969854494843576
69,537.77293383014,109.7567799677514,46.70227421297496,68.56956002296103,185.59608971288995,1.6831120440798686,maize,3.7250515770330925
70,444.78710074986446,106.43525875845195,28.036943200147995,74.23158151925064,233.4979782992878,4.5991003429427275,wheat,1.6341647909072174
71,740.3287299923138,34.8407257070897,12.42436811459299,36.06528542974945,280.3496389338786,5.144801381770527,maize,4.040828288235162
72,1172.8329277402877,22.573067065616524,14.757756426151067,71.89857783507208,204.47018487829726,3.03717643947632,rice,3.119604347132095
73,1464.6254651232837,91.24960104802233,25.784239604249464,19.57692182565429,180.55772099322166,8.99791909136234,cotton,1.688927413253988
74,1653.8122759177177,114.488994587118,11.470163171146421,58.88797848166751,142.63831902120816,4.951948724899036,rice,3.541331326702049
75,943.5149835007372,44.42894865904603,58.284358469612464,58.82618303676117,295.4778717729474,8.399522063700019,soybean,1.7870662964691353
76,1052.7942443143052,21.079538527182766,32.13552343639755,13.358260772973658,268.5984605488309,2.3573420163151373,cotton,1.440697133981707
77,1380.8653376160555,53.01015120656653,58.34313255667887,46.974464603925014,186.36626743181037,6.62152438102894,rice,3.52703193147773
78,1916.2181258687306,53.033142239833495,44.807223897982794,60.510698954483594,133.55676380964516,7.124115005980355,rice,4.235103351874068
79,407.62726880189797,116.91805595417914,42.843918846306565,67.73673014817942,226.0829200797333,2.5914708921719343,wheat,1.4987224293210815
80,925.1307684038646,44.986401815276956,31.87535989169132,27.070044876450613,345.84297971680434,3.2510770661132193,maize,2.4863880681795534
81,1561.6769801077905,40.04846076145998,58.77659627067048,59.464800917455754,133.69021690224574,5.917805498003067,cotton,1.1217190148693579
82,1855.2298446176362,24.374145373407845,8.475958333005126,48.32444350997663,169.4137828802261,4.164888881501753,soybean,1.9785119575949857
83,1805.0005078307083,19.240751685063497,28.82741739385441,14.473272135439117,171.45410172462687,1.978896760469164,maize,4.092793039800895
84,994.4216444477103,100.74343021540636,38.39815546480276,54.67579152720383,321.45121040779094,5.86424781714805,rice,3.130942840062839
85,449.6531329228418,34.7545572220704,10.375970041880926,70.01145686882114,370.5287693727915,1.9813116054638777,soybean,1.607896113956404
86,402.0580020651968,37.58608515945946,50.69934847139087,55.37462525571625,336.8639459328162,5.357978816590883,wheat,1.5074942075017643
87,649.1809761000505,11.521302509187185,12.610035635362998,27.17006296057279,322.73392970092914,4.492985647390482,cotton,1.4491228324214862
88,441.8531173183178,91.52919353151115,54.55687745890942,18.16267287877761,198.45401291205872,3.1850810056909094,maize,3.2606299960107537
89,424.3443540303073,14.82764328063342,48.346783609250565,63.002358111219486,293.0676712313303,6.607774374720888,maize,3.2343174811983024
90,678.2331754605896,58.221242663893044,19.05553181651773,25.59245944412968,118.64646892419658,9.897334133683717,cotton,1.2764026659314072
91,1072.6493529296738,83.31964934543127,51.998950914075124,66.97631373553986,327.039272040423,6.508279329229351,cotton,1.1325179592720886
92,1280.7347083163072,52.40904662867985,47.067248305025565,52.51226501402458,211.99053925417553,5.963137231686678,wheat,2.824396333870974
93,1814.0051906366225,62.604704086237774,29.41114934678463,75.27742929191426,207.6552092246931,5.7204401277374854,cotton,1.7482912518504328
94,1158.390902256789,54.74153088936152,9.960907763539792,33.80472813825227,343.20597622324556,6.40988212450972,rice,3.238650268292229
95,1498.929700094321,114.20374319153161,22.888493573586885,10.387833895069186,139.7163036726168,5.812635674371257,rice,3.272859981015115
