sample_id,temperature_mean_c,temperature_max_c,temperature_min_c,rainfall_mm,humidity_pct,solar_radiation_mj_m2,wind_speed_m_s,season,year,latitude,longitude,soil_moisture_pct,soil_nitrogen_kg_ha,soil_phosphorus_kg_ha,soil_potassium_kg_ha,soil_ph,soil_organic_matter_pct,irrigation_water_l_ha,fertilizer_n_kg_ha,fertilizer_p_kg_ha,fertilizer_k_kg_ha,energy_kwh_ha,land_area_ha,crop_yield_t_ha,crop_type_cotton,crop_type_maize,crop_type_rice,crop_type_soybean,crop_type_wheat,soil_type_clay,soil_type_loam,soil_type_peat,soil_type_sandy,soil_type_silt
541,0.5559195468985713,0.24049811378313046,0.4357274258448574,0.5441269021025763,0.028740591449295527,0.5497648285356991,0.2464864842375109,1.0,0.043478260869562746,0.006413393039718218,0.9546426266447983,0.8345002820957588,0.23720968414802168,0.9496918394371403,0.3614970179457231,0.14729833066130205,0.053164500182623864,0.7233439863070492,0.5217214287574719,0.0074175837790078775,0.9720336957729044,0.9935137337237381,0.6595870232687953,1.268239662618769,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
440,0.8517107605485302,0.23610065466559138,0.9982716223856578,0.2637166609859669,0.039992323969374244,0.12838959948918444,0.4949237382733535,0.3333333333333333,0.43478260869564167,0.7680317275770445,0.5617486666313695,0.25405220214910557,0.7068895730249771,0.7564611157074402,0.8577053006137814,0.26132169207252165,0.42545715337077916,0.8048604571029918,0.9881185311516454,0.7012794252654598,0.09933369362355929,0.910225098982842,0.6567440715628456,1.840614499888933,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
482,0.588325337561605,0.5930884070721966,0.10338581906668226,0.8387157414015803,0.7904445921070021,0.3500714247944739,0.8688635159915807,0.0,0.7826086956521721,0.8312607405304345,1.0,0.40899694640874257,0.0758564062938501,0.3566884423220489,0.04037533528733658,0.15474109159915495,0.3149422174409895,0.37971793603511417,0.5889214933206339,0.9328999279615395,0.6356382249910737,0.39434122221901413,0.27961944632906544,3.0873921689837784,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
422,0.0042057227913507855,0.4563856935115921,0.7651521413802538,0.6591747741408246,0.6134108283276446,0.7860903380537525,0.6696651708670927,1.0,0.3478260869565162,0.6590018232499384,0.5673161256924976,0.29423866147535155,0.6820274398302434,0.563123343548959,0.2347873261752967,0.044431976651973404,0.7852326184182268,0.17995843533894462,0.12058204141934453,0.3981688141301297,0.9390280694579415,0.34491414368802226,0.9631314603413987,1.5031593845061553,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
778,0.7733502717831523,0.34592450081865433,0.25789046223571266,0.7583140675752185,0.2750725101929844,0.7244404052902875,0.35481403034067643,0.3333333333333333,0.4782608695652186,0.870926463172875,0.6926867016254095,0.363431702307946,0.7906525257376386,0.6442640424816064,0.49734111821012805,0.3995939746788859,0.4973106867888334,0.6158374103227476,0.07945864938868125,0.7684553954104624,0.9938324450505577,0.26983450008712756,0.8058852446831539,3.891412773399834,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
949,0.33881018379350913,0.9254588040945065,0.8754914226566628,0.2950491796360555,0.6910429374813335,0.6524059840636034,0.8907416893692524,0.3333333333333333,0.7826086956521721,0.1578272374907571,0.5474705115829213,0.8253050117463254,0.44268725011395005,0.8218646606484493,0.9675376335008816,0.6437570393017191,0.26687690020050553,0.9708427307887144,0.5464401433826129,0.8198331538624526,0.3811740043767753,0.2316633475196747,0.7036842012740416,3.754263269070068,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
334,0.13114890320202588,0.9641186470763304,0.4271021713601693,0.3664972873632689,0.8403427838568468,0.35753047720928904,0.7465278808748113,0.6666666666666667,0.4782608695652186,0.21299587207484363,0.6558431375236982,0.4404781490664719,0.2971015759450215,0.06410784012867696,0.2904241442136746,0.9021543448280345,0.4400985531020135,0.13456844036903037,0.4125497704833419,0.858621052539371,0.49424288779314784,0.2346909692390191,0.5739100315463823,1.0783998521700608,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
576,0.9102565094510034,0.7933564158318868,0.6963275552414225,0.8204743964100737,0.8214430070949735,0.9833032086657325,0.44355155037615984,0.3333333333333333,0.6956521739130324,0.021625680290218774,0.14138242376135718,0.8720977142306148,0.7073535888376821,0.027554771639264522,0.9114236895003696,0.8027088071131452,0.4656416206288233,0.19600895726344653,0.5611685805517863,0.799979389131341,0.37290918034137444,0.506459842184637,0.5899376568723367,2.7574866186382776,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
934,0.772764624871351,0.711967988120295,0.6663364079088789,0.4970614228855439,0.6308661782361015,0.26705768358332344,0.644119969064146,0.0,0.5652173913043441,0.8137219857388471,0.8780125904428605,0.3820822609897176,0.830320680979798,0.5227150910781952,0.46515856070620887,0.8362727398605787,0.294379867000513,0.4870255959319031,0.1782667375628184,0.1961629496866296,0.15933544622254722,0.5567463775659456,0.9083377419924763,3.622084006955134,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
567,0.05699672717001747,0.015303596794122853,0.0975682390871846,0.4828610790539092,0.036278497623844275,0.15544908688580067,0.5017499762005536,0.0,0.21739130434782794,0.45711203304785347,0.8107279096066877,0.058822319194031414,0.15698006615230925,0.44849840730310453,0.7901502626007734,0.49532249350312707,0.508602497902618,0.17255669587258465,0.9169016772593921,0.9810435472682169,0.3558422109656654,0.8970003604063648,0.21988626780482706,2.332218947024409,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
594,0.006094364612561742,0.834517475763127,0.2936576531136605,0.043809026313650384,0.21066886038189003,0.5700193991514086,1.0,0.0,0.9130434782608603,0.07639176689052668,0.4916193335781088,0.42722295980326813,0.39700299845400977,0.7520363187644329,0.9934195262798622,0.7294701429322208,0.09144446174488324,0.06508512858888621,0.08438779403373378,0.3514614334570476,0.6155323256701201,0.06497080849763773,0.2075657590189966,1.0725798016833767,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
530,0.6878960578727414,0.30815245216398657,0.6194943936134472,0.048139497264740566,0.7706166396800894,0.3428263023880675,0.2738968621334805,0.0,0.30434782608695343,0.6451508714879302,0.5400485944180838,0.28105164687833234,0.9540517953699972,0.21558856577775046,0.23212891025976365,0.10617172227463234,0.8678573580825335,0.7494466874346697,0.5756014776551475,0.1631093006359068,0.03690798006630794,0.23248785581791243,0.33672327672523367,1.236765995461581,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
581,0.5313087799910196,0.3141737952605502,0.8362665718307851,0.7923582165697117,0.790633041076913,0.3843424371213315,0.601882956603727,0.3333333333333333,0.7391304347826093,0.3628622832064212,0.05961400360429664,0.777485925921733,0.04201217125686163,0.46387537414827196,0.006012548988179406,0.41244596710041437,0.46971333516389013,0.2634651732044213,0.051859565455863815,0.16937508129107084,0.8994321776441813,0.8432899462899793,0.5134035713769338,2.460605935211606,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
